ISO3,NATIONALITY_NAME,COUNTRY_CODE,REGION,SUBREGION,LATITUDE,LONGITUDE,UPDATED,OBSOLETE
HND,Honduras,1860,Americas,Latin America and the Caribbean,"140,818","-8,720,681",,0
HKG,Hong Kong,6120,Asia,Eastern Asia,,,,-1
HUN,Hungary,1950,Europe,Eastern Europe,"4,749,801","1,903,991",,0
ISL,Iceland,1980,Europe,Northern Europe,"6,413,548","-2,189,541",,0
IND,India,2040,Asia,Southern Asia,"2,865,195","7,723,149",,0
IDN,Indonesia,2070,Asia,South-eastern Asia,"-621,462","10,684,513",,0
IRN,Iran,2100,Asia,Southern Asia,"3,569,439","5,142,151",,0
IRQ,Iraq,2130,Asia,Western Asia,"3,334,058","4,440,088",,0
IRL,Ireland,2160,Europe,Northern Europe,"5,333,306","-624,889",,0
ISR,Israel,2190,Asia,Western Asia,"3,176,904","3,521,633",,0
ITA,Italy,2220,Europe,Southern Europe,"4,189,193","1,251,133",,0
JAM,Jamaica,2280,Americas,Latin America and the Caribbean,"1,799,702","-7,679,358",,0
JPN,Japan,2310,Asia,Eastern Asia,"356,895","13,969,171",,0
JOR,Jordan,2340,Asia,Western Asia,"3,195,522","3,594,503",,0
KAZ,Kazakhstan,4319,Asia,Central Asia,"511,801","7,144,598",,0
KEN,Kenya,2400,Africa,Sub-Saharan Africa,"-128,333","3,681,667",,0
KIR,Kiribati,6170,Oceania,Micronesia,"13,278","17,297,696",,0
XKX,Kosovo (UN administered province of Serbia),8300,Europe,Southern Europe,"4,480,401","2,046,513",,0
KWT,Kuwait,2430,Asia,Western Asia,"2,936,972","4,797,833",,0
KGZ,Kyrgyzstan,4397,Asia,Central Asia,"42,87","74,59",,0
LAO,Lao People's Democratic Republic,2460,Asia,South-eastern Asia,"1,796,667","102,6",,0
LVA,Latvia,4617,Europe,Northern Europe,"56,946","2,410,589",,0
LBN,Lebanon,2490,Asia,Western Asia,"3,389,332","3,550,157",,0
LSO,Lesotho,2520,Africa,Sub-Saharan Africa,"-2,931,667","2,748,333",,0
LBR,Liberia,2550,Africa,Sub-Saharan Africa,"630,054","-107,969",,0
LBY,Libya,2580,Africa,Northern Africa,"3,287,519","1,318,746",,0
LIE,Liechtenstein,5550,Europe,Western Europe,"4,714,151","952,154",,0
LTU,Lithuania,4637,Europe,Northern Europe,"5,468,916","252,798",,0
