CITY_CODE,CITY_NAME,CITY_COMMON_NAME,COUNTRY_CODE,COUNTRY_NAME,REGION,SUBREGION,LATITUDE,LONGITUDE,EFFECTIVE,OBSOLETE
AR020,Arbil,Arbil,2130,Iraq,Asia,Western Asia,36.3333,44.2,2019,0
AR005,Arequipa,Arequipa,3390,Peru,Americas,Latin America and the Caribbean,-16,-72.25,,0
AR123,Argeen,Argeen,4020,Sudan,Africa,Northern Africa,21.99616703,31.28978141,,0
AR005,Arica,Arica,840,Chile,Americas,Latin America and the Caribbean,-18.5734,-69.46106,,0
AR010,Arivonimamo,Arivonimamo,2670,Madagascar,Africa,Sub-Saharan Africa,-19.0167,47.18333,,0
AR010,Arlit,Arlit,3180,Niger,Africa,Sub-Saharan Africa,18.7391,7.39333,,0
AR017,Arnhem,Arnhem,3000,Netherlands,Europe,Western Europe,51.9833,5.916667,,0
AR076,Artewiyah,Artewiyah,3780,Saudi Arabia,Asia,Western Asia,,,,0
AR430,Artvin,Artvin,4350,Türkiye,Asia,Western Asia,41.1822,41.8194,,0
AR010,Aru,Aru,990,Democratic Republic of the Congo,Africa,Sub-Saharan Africa,2.8594,30.824167,2021,0
AR050,Arua,Arua,4380,Uganda,Africa,Sub-Saharan Africa,3.0225,30.91048,2021,0
AR005,Aruba,Aruba,250,Aruba,Americas,Latin America and the Caribbean,12.5,-69.96667,,0
AR010,Arusha,Arusha,4550,United Republic of Tanzania,Africa,Sub-Saharan Africa,-3.367,36.691551,2021,0
AS051,As Samawah,As Samawah,2130,Iraq,Asia,Western Asia,30.25,45.33333,,0
AS020,Asaba,Asaba,3210,Nigeria,Africa,Sub-Saharan Africa,6.565,8.88774,,0
AS073,Asadabad,Asadabad,60,Afghanistan,Asia,Southern Asia,34.8742,71.152778,,0
AS030,Asaita,Asaita,1410,Ethiopia,Africa,Sub-Saharan Africa,11.5663,41.439043,,0
AS010,Asembagus,Asembagus,2070,Indonesia,Asia,South-eastern Asia,-8.5564,114.2828,,0
AS040,Ashdod,Ashdod,2190,Israel,Asia,Western Asia,31.7921,34.64966,,0
AS646,Ashgabad,Ashgabad,7677,Turkmenistan,Asia,Central Asia,37.95,58.3833,,0
AS030,Ashkhabad,Ashkhabad,7677,Turkmenistan,Asia,Central Asia,37.95,58.383326,2019,0
